PK_ACTIVIDAD;FK_INDUSTRIA;FK_SECTOR;ACTIVIDAD
287;13;2;FABRICACION DE MOTORES Y TURBINAS, EXCEPTO MOTORES PARA AERONAVES, VEHICULOS AUTOMOTORES Y MOTOCICLETAS
288;13;2;FABRICACION DE MUEBLES
289;13;2;FABRICACION DE OTRO EQUIPO ELECTRICO
290;13;2;FABRICACION DE OTROS ARTICULOS DE PAPEL Y CARTON
291;13;2;FABRICACION DE OTROS CABLES ELECTRICOS Y ELECTRONICOS
292;13;2;FABRICACION DE OTROS PRODUCTOS DE CAUCHO
293;13;2;FABRICACION DE OTROS PRODUCTOS DE CERAMICA Y PORCELANA
294;13;2;"FABRICACION DE OTROS PRODUCTOS DE MADERA; FABRICACION DE ARTICULOS DE CORCHO, PAJA Y MATERIALES TRENZABLES"
295;13;2;FABRICACION DE OTROS PRODUCTOS DE METAL
296;13;2;"FABRICACION DE OTROS PRODUCTOS ELABORADOS DE METAL; ACTIVIDADES DE TRABAJO DE METALES"
297;13;2;FABRICACION DE OTROS PRODUCTOS MINERALES NO METALICOS
298;13;2;FABRICACION DE OTROS PRODUCTOS QUIMICOS
299;13;2;FABRICACION DE OTROS PRODUCTOS TEXTILES
300;13;2;FABRICACION DE OTROS TEXTILES
301;13;2;FABRICACION DE OTROS TIPOS DE EQUIPO DE TRANSPORTE
302;13;2;FABRICACION DE OTROS TIPOS DE MAQUINARIA DE USO GENERAL
303;13;2;FABRICACION DE PAPEL Y CARTON ONDULADO Y DE ENVASES DE PAPEL Y CARTON
304;13;2;FABRICACION DE PAPEL Y DE LOS PRODUCTOS DE PAPEL
305;13;2;FABRICACION DE PARTES Y ACCESORIOS PARA MOTORES DE VEHICULOS
306;13;2;FABRICACION DE PARTES Y PIEZAS DE CARPINTERIA PARA EDIFICIOS Y CONSTRUCCIONES
307;13;2;FABRICACION DE PESTICIDAS Y DE OTROS PRODUCTOS QUIMICOS DE USO AGROPECUARIO
308;13;2;FABRICACION DE PINTURAS, BARNICES Y PRODUCTOS DE REVESTIMIENTO SIMILARES, TINTAS DE IMPRENTA Y MASILLAS
309;13;2;FABRICACION DE PLASTICOS Y DE CAUCHO SINTETICO EN FORMAS PRIMARIAS
310;13;2;FABRICACION DE PRENDAS DE TEJIDOS Y DE PUNTO CROCHETED
311;13;2;FABRICACION DE PRENDAS DE VESTIR
312;13;2;FABRICACION DE PRENDAS DE VESTIR, EXCEPTO PRENDAS DE PIEL
313;13;2;FABRICACION DE PRODUCTOS DE CAUCHO
314;13;2;FABRICACION DE PRODUCTOS DE CAUCHO Y PLASTICO
315;13;2;FABRICACION DE PRODUCTOS DE HORNO DE COQUE
316;13;2;FABRICACION DE PRODUCTOS DE MADERA, CORCHO, PAJA Y MATERIALES TRENZABLES
317;13;2;FABRICACION DE PRODUCTOS DE PLASTICO
318;13;2;FABRICACION DE PRODUCTOS DERIVADOS DEL METAL, EXCEPTO MAQUINARIA Y  EQUIPO
319;13;2;FABRICACION DE PRODUCTOS ELECTRONICOS
320;13;2;FABRICACION DE PRODUCTOS FARMACEUTICOS, SUSTANCIAS QUIMICAS MEDICINALES Y DE PRODUCTOS BOTANICOS
321;13;2;FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL
322;13;2;FABRICACION DE PRODUCTOS METALICOS PARA USO ESTRUCTURAL, TANQUES, DEPOSITOS Y LOS GENERADORES DE VAPOR
323;13;2;FABRICACION DE PRODUCTOS MINERALES NO METALICOS
324;13;2;FABRICACION DE PRODUCTOS PRIMARIOS DE METALES PRECIOSOS Y METALES NO FERROSOS
325;13;2;FABRICACION DE PRODUCTOS REFRACTARIOS
326;13;2;FABRICACION DE PRODUCTOS TEXTILES
327;13;2;FABRICACION DE PULPA, PAPEL Y CARTON
328;13;2;FABRICACION DE RECIPIENTES DE MADERA
329;13;2;FABRICACION DE SOPORTES MAGNETICOS Y OPTICOS
330;13;2;FABRICACION DE SUSTANCIAS QUIMICAS BASICAS
331;13;2;FABRICACION DE SUSTANCIAS QUIMICAS BASICAS ABONOS Y COMPUESTO DE NITROGENOS, PLASTICOS Y CAUCHOS SINTETICOS EN FORMA PRIMARIA
332;13;2;FABRICACION DE SUSTANCIAS Y PRODUCTOS QUIMICOS
333;13;2;FABRICACION DE TANQUES, DEPOSITOS Y RECIPIENTES DE METAL
334;13;2;FABRICACION DE TAPICES Y ALFOMBRAS
335;13;2;FABRICACION DE TEJIDOS Y TELA DE PUNTO (CROCHET O GANCHILLO)
336;13;2;FABRICACION DE TIPOS DE EQUIPO DE TRANSPORTE
337;13;2;FABRICACION DE TODO TIPO DE RELOJES
338;13;2;FABRICACION DE VEHICULOS AUTOMOTORES
339;13;2;FABRICACION DE VEHICULOS AUTOMOTORES, REMOLQUES Y SEMIRREMOLQUES
340;13;2;FABRICACION DE VEHICULOS MILITARES DE COMBATE
341;13;2;FABRICACION DE VIDRIO Y DE PRODUCTOS DE VIDRIO
342;20;3;"FABRICACION DEL GAS; DISTRIBUCION DE COMBUSTIBLES GASEOSOS POR TUBERIAS"
343;13;2;FABRICACION, TRATAMIENTO Y REVESTIMIENTO DE METALES
344;10;3;FIDEICOMISOS, FONDOS Y OTRAS FUENTES DE FINANCIAMIENTO
345;10;3;FONDOS DE PENSION
346;8;2;FONTANERIA E INSTALACION DE CALEFACCION Y AIRE ACONDICIONADO
347;13;2;"FORJA, PRENSADO, ESTAMPADO Y LAMINADO DE METALES; PULVIMETALURGIA"
348;17;3;FOTOCOPIA, PREPARACION DE DOCUMENTOS Y OTRAS ACTIVIDADES ESPECIALIZADAS DE APOYO PARA LA OFICINA
349;13;2;FUNDICION DE HIERRO Y ACERO
350;13;2;FUNDICION DE METALES
351;13;2;FUNDICION DE METALES NO FERROSOS
352;15;3;FUNERALES Y ACTIVIDADES CONEXAS
353;3;1;GANADERIA
354;15;3;GESTION DE INSTALACIONES DEPORTIVAS
355;13;2;HILADURA, TEJEDURA Y ACABADOS DE PRODUCTOS TEXTILES
356;13;2;INDUSTRIAS BASICAS DE HIERRO Y ACERO BASICOS
357;8;2;INGENIERIA CIVIL
358;8;2;INSTALACION DE MAQUINARIA Y EQUIPO INDUSTRIAL
359;8;2;INSTALACION ELECTRICA
360;16;3;INSTITUCIONES DEDICADAS AL CUIDADO DEL ADULTO MAYOR DISCAPACITADOS
361;16;3;INSTITUCIONES DEDICADAS AL TRATAMIENTO DEL RETRASO MENTAL, LOS PROBLEMAS DE SALUD MENTAL Y EL USO INDEBIDO DE SUSTANCIAS NOCIVAS
362;16;3;INSTITUCIONES RESIDENCIALES DE CUIDADO
363;2;3;INTERMEDIACION MONETARIA
364;19;3;INVESTIGACION DE MERCADOS Y ENCUESTAS DE OPINION PUBLICAS
365;19;3;INVESTIGACION Y DESARROLLO CIENTIFICO
366;19;3;INVESTIGACION Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS NATURALES Y LA INGENIERIA
367;19;3;INVESTIGACION Y DESARROLLO EXPERIMENTAL EN EL CAMPO DE LAS CIENCIAS SOCIALES Y LAS HUMANIDADES
368;15;3;LAVADO Y SECADO DE PRENDAS DE TELA Y DE PIEL
369;17;3;LIMPIEZA GENERAL DE EDIFICIOS
370;21;3;MANIPULACION DE CARGA
371;15;3;MANTENIMIENTO Y REPARACION DE VEHICULOS AUTOMOTORES
372;17;3;OPERADORES TURISTICOS
373;15;3;ORGANIZADORES DE CONVENCIONES Y FERIAS DE NEGOCIOS
374;10;3;OTRAS ACTIVIDADES AUXILIARES A LAS ACTIVIDADES DE SERVICIOS FINANCIEROS
375;10;3;OTRAS ACTIVIDADES AUXILIARES DE SEGUROS Y FONDOS DE PENSIONES
376;21;3;OTRAS ACTIVIDADES COMPLEMENTARIAS DE TRANSPORTE
377;17;3;OTRAS ACTIVIDADES DE APOYO
378;5;3;OTRAS ACTIVIDADES DE DIVERSION Y ESPARCIMIENTO
379;17;3;OTRAS ACTIVIDADES DE LIMPIEZA EN EDIFICIOS E INDUSTRIAL
380;15;3;OTRAS ACTIVIDADES DE SERVICIOS
381;11;3;OTRAS ACTIVIDADES DE TELECOMUNICACION
382;4;3;OTRAS ACTIVIDADES DEL SERVICIO DE ALIMENTACION
383;19;3;OTRAS ACTIVIDADES DEL SERVICIO DE INFORMATICA
384;19;3;OTRAS ACTIVIDADES DEL SERVICIO DE TECNOLOGIA DE LA INFORMACION
385;5;3;OTRAS ACTIVIDADES DEPORTIVAS
386;8;2;OTRAS ACTIVIDADES ESPECIALIZADAS DE LA CONSTRUCCION
387;10;3;OTRAS ACTIVIDADES FINANCIERAS
388;10;3;OTRAS ACTIVIDADES FINANCIERAS, EXCEPTO SEGUROS Y ACTIVIDADES DEL FONDO DE PENSIONES
389;10;3;OTRAS ACTIVIDADES FINANCIERAS, EXCEPTO SEGUROS Y DE FONDOS DE PENSIONES
390;19;3;OTRAS ACTIVIDADES PROFESIONALES, CIENTIFICAS Y TECNICAS
391;16;3;OTRAS ACTIVIDADES RELACIONADAS CON LA SALUD HUMANAS
392;13;2;OTRAS INDUSTRIAS MANUFACTURERAS
393;16;3;OTRAS INSTITUCIONES RESIDENCIALES DEL CUIDADO
394;11;3;OTRAS PUBLICACIONES
395;9;3;OTRO TIPO DE ENSE헤NZA
396;8;2;OTRO TIPO DE INSTALACIONES DE CONSTRUCCION
397;4;3;OTROS ALOJAMIENTOS
398;3;1;OTROS CULTIVOS PERENNES
399;11;3;OTROS SERVICIOS DE INFORMACION
400;21;3;OTROS SERVICIOS DE RESERVA
401;10;3;OTROS TIPOS DE CREDITO
402;9;3;OTROS TIPOS DE ENSE헤NZA
403;10;3;OTROS TIPOS DE INTERMEDIACION MONETARIA
404;21;3;OTROS TIPOS DE TRANSPORTE POR VIA TERRESTRE
405;7;3;OTROS TIPOS DE VENTA AL POR MENOR NO REALIZADA EN ALMACENES, PUESTOS DE VENTA O MERCADOS
406;21;3;OTROS TRANSPORTE TERRESTRE DE PASAJEROS
407;5;3;PARQUES DE CARAVANAS, PARQUES DE REMOLQUES, CAMPAMENTOS DE RECREO Y CAMPING
408;3;1;PESCA
409;3;1;PESCA DE AGUA DULCE
410;3;1;PESCA MARITIMA
411;3;1;PESCA Y ACUICULTURA
412;11;3;PORTALES WEB
413;11;3;PORTALES WEB, PROCESAMIENTO DE DATOS, HOSTING Y ACTIVIDADES CONEXAS
414;8;2;PREPARACION DEL TERRENO
415;13;2;PREPARACION E HILADURA DE FIBRAS TEXTILES
416;17;3;PRESTACION DE RECURSOS HUMANOS Y GESTION DE LAS FUNCIONES DE RECURSOS HUMANOS
417;15;3;PRESTACION DE SERVICIOS A LA COMUNIDAD EN GENERAL
418;11;3;PROCESAMIENTO DE DATOS, HOSTING Y ACTIVIDADES CONEXAS
419;3;1;PROCESAMIENTO DE SEMILLAS PARA LA PROPAGACION
420;13;2;PROCESAMIENTO Y CONSERVACION DE CARNE
421;13;2;PROCESAMIENTO Y CONSERVACION DE FRUTAS Y VEGETALES
422;13;2;PROCESAMIENTO Y CONSERVACION DE PESCADOS, CRUSTACEOS Y MOLUSCOS
423;13;2;"PRODUCCION DE MADERA Y FABRICACION DE PRODUCTOS DE MADERA Y CORCHO, EXCEPTO MUEBLES; FABRICACION DE ARTICULOS DE PAJA Y DE MATERIALES TRANSABLES"
424;20;3;PRODUCCION, TRANSMISION Y DISTRIBUCION DE ENERGIA ELECTRICA
425;11;3;PROGRAMACION Y OTRO TIPO DE SUSCRIPCION
426;3;1;PROPAGACION DE PLANTAS
427;11;3;PUBLICACION DE DIRECTORIOS Y LISTAS DE ENVIO
428;11;3;PUBLICACION DE LIBROS
429;11;3;PUBLICACION DE LIBROS PERIODICOS Y OTRAS ACTIVIDADES DE PUBLICACION
430;11;3;PUBLICACION DE PERIODICOS, DIARIOS Y REVISTAS
431;11;3;PUBLICACION DE PROGRAMAS INFORMATICOS
432;11;3;PUBLICIDAD
433;19;3;PUBLICIDAD E INVESTIGACION DE MERCADOS
434;10;3;REASEGUROS
435;18;3;RECOLECCION DE DESECHOS
436;18;3;RECOLECCION DE DESECHOS NO PELIGROSOS
437;18;3;RECOLECCION DE DESECHOS PELIGROSOS
438;3;1;RECOLECCION DE PRODUCTOS FORESTALES DIFERENTES A LA MADERA
439;18;3;RECOLECCION, TRATAMIENTO Y ELIMINACION DE DESECHOS, RECUPERACION DE MATERIALES
440;18;3;RECUPERACION DE MATERIALES
441;2;3;REGULACION DE LAS ACTIVIDADES DE ORGANISMOS QUE PRESTEN SERVICIOS SANITARIOS, EDUCATIVOS, CULTURALES Y OTROS SERVICIOS SOCIALES EXCEPTO SERVICIOS DE SEGURIDAD SOCIAL
442;2;3;REGULACION Y FACILITACION DE LA ACTIVIDAD ECONOMICA
443;2;3;RELACIONES EXTERIORES
444;12;3;RENTA Y ALQUILER DE EFECTOS PERSONALES Y ENSERES DOMESTICOS
445;12;3;RENTA Y ALQUILER DE EQUIPO DE RECREO Y DEPORTIVO
446;12;3;RENTA Y ALQUILER DE VEHICULOS AUTOMOTORES
447;15;3;REPARACION DE APARATOS DE CONSUMO ELECTRICO
448;15;3;REPARACION DE APARATOS DOMESTICOS Y EQUIPAMIENTO DE HOGAR Y JARDIN
449;15;3;REPARACION DE CALZADO Y ARTICULOS CUERO
450;15;3;REPARACION DE COMPUTADORAS Y ENSERES DE USO PERSONAL Y DOMESTICO
451;15;3;REPARACION DE COMPUTADORAS Y EQUIPO PERIFERICO
452;15;3;REPARACION DE COMPUTADORAS Y EQUIPOS COMUNICACIONALES
453;15;3;REPARACION DE ENSERES DE USO PERSONAL Y DOMESTICO
454;15;3;REPARACION DE EQUIPO DE OTRO TIPO
455;15;3;REPARACION DE EQUIPO DE TRANSPORTE, EXCEPTO LOS VEHICULOS AUTOMOTORES
456;15;3;REPARACION DE EQUIPO ELECTRICO
457;15;3;REPARACION DE EQUIPO ELECTRONICO Y OPTICO
458;15;3;REPARACION DE EQUIPOS COMUNICACIONALES
459;15;3;REPARACION DE MAQUINARIA
460;15;3;REPARACION DE MUEBLES Y ACCESORIOS PARA EL HOGAR
461;15;3;REPARACION DE OTROS BIENES PERSONALES Y DOMESTICOS
462;15;3;REPARACION DE PRODUCTOS ELABORADOS DE METAL
463;15;3;REPARACION DE PRODUCTOS ELABORADOS DE METAL, MAQUINARIAS Y EQUIPOS
464;15;3;REPARACION E INSTALACION DE MAQUINARIA Y EQUIPO
465;13;2;REPRODUCCION DE GRABACIONES
466;4;3;RESTAURANTES Y OTROS SERVICIOS DE COMIDAS MOVILES
467;10;3;SEGUROS
468;10;3;SEGUROS DE VIDA
469;10;3;SEGUROS GENERALES
470;10;3;SEGUROS, REASEGUROS Y FONDOS DE PENSIONES, EXCEPTO LOS PLANES DE SEGURIDAD SOCIAL DE AFILIACION OBLIGATORIA
471;21;3;SERVICIO DE MENSAJERIA
472;4;3;SERVICIOS DE ALIMENTO Y BEBIDA
473;3;1;SERVICIOS DE APOYO A LA SILVICULTURA
474;17;3;SERVICIOS DE APOYO ADMINISTRATIVO DE OFICINAS
475;17;3;SERVICIOS DE APOYO ADMINISTRATIVO DE OFICINAS, EMPRESAS Y OTROS NEGOCIOS
476;9;3;SERVICIOS DE APOYO EDUCATIVO
477;16;3;SERVICIOS DE ENFERMERIA
478;10;3;SERVICIOS FINANCIEROS, EXCEPTO SEGUROS Y FONDOS DE PENSIONES
479;17;3;SERVICIOS PARA EDIFICIOS Y ACTIVIDADES DE JARDINERIA
480;13;2;SERVICIOS RELACIONADOS CON LA IMPRESION
481;16;3;SERVICIOS SOCIALES SIN ALOJAMIENTO
482;16;3;SERVICIOS SOCIALES SIN ALOJAMIENTO PARA EL ADULTO MAYOR Y DISCAPACITADOS
483;3;1;SILVICULTURA Y EXTRACCION DE MADERA
484;3;1;SILVICULTURA Y OTRAS ACTIVIDADES RELACIONADAS A LA SILVICULTURA
485;20;3;SUMINISTRO DE ELECTRICIDAD, GAS, VAPOR Y AIRE ACONDICIONADO
486;20;3;SUMINISTRO DE VAPOR Y AIRE ACONDICIONADO
487;13;2;TEJEDURA DE PRODUCTOS TEXTILES
488;11;3;TELECOMUNICACIONES
489;8;2;TERMINACION DE EDIFICIOS
490;10;3;TITULOS DE VALOR Y CONTRATOS DE CORRETAJE DE MATERIAS PRIMAS
491;21;3;TRANSPORTE DE CARGA POR CARRETERA
492;21;3;TRANSPORTE DE CARGA POR VIA AEREA
493;21;3;TRANSPORTE DE CARGA POR VIA FERREA
494;21;3;TRANSPORTE DE CARGA, POR VIAS DE NAVEGACION INTERIORES
495;21;3;TRANSPORTE DE PASAJEROS POR VIA AEREA
496;21;3;TRANSPORTE DE PASAJEROS POR VIA FERREA
497;21;3;TRANSPORTE DE PASAJEROS POR VIAS DE NAVEGACION INTERIORES
498;21;3;TRANSPORTE MARITIMO Y DE CABOTAJE
499;21;3;TRANSPORTE MARITIMO Y DE CABOTAJE DE CARGA
500;21;3;TRANSPORTE MARITIMO Y DE CABOTAJE DE PASAJERO
501;21;3;TRANSPORTE POR TUBERIAS
502;21;3;TRANSPORTE POR VIA AEREA
503;21;3;TRANSPORTE POR VIA DE NAVEGACION INTERIOR
504;21;3;TRANSPORTE POR VIA FERREA
505;21;3;"TRANSPORTE POR VIA TERRESTRE; TRANSPORTE POR TUBERIAS"
506;21;3;TRANSPORTE POR VIAS ACUATICA
507;21;3;TRANSPORTE TERRESTRE DE PASAJEROS DEL AREA URBANA, SUBURBANA O METROPOLITANA
508;18;3;TRATAMIENTO Y ELIMINACION DE DESECHOS
509;18;3;TRATAMIENTO Y ELIMINACION DE DESECHOS NO PELIGROSOS
510;18;3;TRATAMIENTO Y ELIMINACION DE DESECHOS PELIGROSOS
511;6;3;VENTA AL POR MAYOR A CAMBIO DE UNA RETRIBUCION O POR CONTRATA
512;6;3;VENTA AL POR MAYOR DE ALIMENTOS, BEBIDAS Y TABACO
513;6;3;VENTA AL POR MAYOR DE BASURA, DESECHO Y OTROS PRODUCTOS
514;6;3;VENTA AL POR MAYOR DE COMBUSTIBLES SOLIDOS, LIQUIDOS Y GASEOSOS Y DE PRODUCTOS CONEXOS
515;6;3;VENTA AL POR MAYOR DE COMPUTADORAS, EQUIPO INFORMATICO PERIFERICO Y PROGRAMAS INFORMATICOS
516;6;3;VENTA AL POR MAYOR DE ENSERES DOMESTICOS
517;6;3;VENTA AL POR MAYOR DE EQUIPO ELECTRONICO DE TELECOMUNICACIONES Y DE SUS PARTES Y PIEZAS
518;6;3;VENTA AL POR MAYOR DE MAQUINARIA, EQUIPO AGRICOLA Y SUS SUMINISTROS
519;6;3;VENTA AL POR MAYOR DE MAQUINARIA, EQUIPOS Y MATERIALES
520;6;3;VENTA AL POR MAYOR DE MATERIALES DE CONSTRUCCION, ARTICULOS DE FERRETERIA Y EQUIPO Y MATERIALES DE FONTANERIA Y CALEFACCION
521;6;3;VENTA AL POR MAYOR DE MATERIAS PRIMAS AGROPECUARIAS Y ANIMALES VIVOS
522;6;3;VENTA AL POR MAYOR DE METALES Y DE MINERALES METALIFEROS
523;6;3;VENTA AL POR MAYOR DE OTRO TIPO DE MAQUINARIA Y EQUIPO
524;6;3;VENTA AL POR MAYOR DE OTROS ENSERES DOMESTICOS
525;6;3;VENTA AL POR MAYOR DE OTROS PRODUCTOS NO ESPECIALIZADOS
526;6;3;VENTA AL POR MAYOR ESPECIALIZADA
527;7;3;VENTA AL POR MENOR A TRAVES DE PEDIDO POR CORREO O VIA INTERNET
528;7;3;VENTA AL POR MENOR DE ALFOMBRAS, CUBIERTAS DE PARED Y PISO EN ALMACENES ESPECIALIZADOS
529;7;3;VENTA AL POR MENOR DE ALIMENTO EN ALMACENES ESPECIALIZADOS
530;7;3;VENTA AL POR MENOR DE ALIMENTO, BEBIDAS Y TABACO EN ALMACENES ESPECIALIZADOS
531;7;3;VENTA AL POR MENOR DE APARATOS, MUEBLES, ARTICULOS Y EQUIPOS DE USO DOMESTICO EN ALMACENES ESPECIALIZADOS
532;7;3;VENTA AL POR MENOR DE ARTICULOS DE DEPORTE EN ALMACENES ESPECIALIZADOS
533;7;3;VENTA AL POR MENOR DE ARTICULOS DE FERRETERIA, PINTURAS Y PRODUCTOS DE VIDRIO EN ALMACENES ESPECIALIZADOS
534;7;3;VENTA AL POR MENOR DE BEBIDAS EN ALMACENES ESPECIALIZADOS
535;7;3;VENTA AL POR MENOR DE COMBUSTIBLE EN ALMACENES ESPECIALIZADOS
536;7;3;VENTA AL POR MENOR DE COMPUTADORAS, UNIDADES PERIFERICAS, EQUIPO DE SOFTWARE Y TELECOMUNICACIONES
537;7;3;VENTA AL POR MENOR DE EQUIPO DE AUDIO Y VIDEO EN ALMACENES ESPECIALIZADOS
538;7;3;VENTA AL POR MENOR DE EQUIPOS ICT (INFORMACION, COMUNICACION Y TELECOMUNICACION) EN ALMACENES ESPECIALIZADOS
539;7;3;VENTA AL POR MENOR DE GRABACIONES MUSICALES Y VIDEOGRAFICAS EN ALMACENES ESPECIALIZADOS
540;7;3;VENTA AL POR MENOR DE JUEGOS Y DE JUGUETES EN ALMACENES ESPECIALIZADOS
541;7;3;VENTA AL POR MENOR DE LIBROS, PERIODICOS Y ARTICULOS DE PAPELERIA EN ALMACENES ESPECIALIZADOS
542;7;3;VENTA AL POR MENOR DE MERCANCIAS DE SEGUNDA MANO
543;7;3;VENTA AL POR MENOR DE OTRO EQUIPAMIENTO PARA LA CASA, EN ALMACENES ESPECIALIZADOS
544;7;3;VENTA AL POR MENOR DE OTROS ARTICULOS  EN TIENDAS ESPECIALIZADAS
545;7;3;VENTA AL POR MENOR DE OTROS PRODUCTOS EN ALMACENES NO ESPECIALIZADOS
546;7;3;VENTA AL POR MENOR DE PRODUCTO TEXTILES, PRENDAS DE VESTIR, CALZADO Y ARTICULOS DE CUERO EN ALMACENES ESPECIALIZADOS
547;7;3;VENTA AL POR MENOR DE PRODUCTOS CULTURALES Y DE ENTRETENCION EN ALMACENES ESPECIALIZADOS
548;7;3;VENTA AL POR MENOR DE PRODUCTOS FARMACEUTICOS Y MEDICINALES, COSMETICOS Y ARTICULOS DE TOCADOR EN ALMACENES ESPECIALIZADOS
549;7;3;VENTA AL POR MENOR DE PRODUCTOS NUEVOS EN ALMACENES ESPECIALIZADOS
550;7;3;VENTA AL POR MENOR DE TABACO EN ALMACENES ESPECIALIZADOS
551;7;3;VENTA AL POR MENOR DE TEXTILES EN ALMACENES ESPECIALIZADOS
552;7;3;VENTA AL POR MENOR EN ALMACENES NO ESPECIALIZADOS
553;7;3;VENTA AL POR MENOR EN ALMACENES NO ESPECIALIZADOS, CON SURTIDO COMPUESTOS PRINCIPALMENTE DE ALIMENTO, BEBIDAS Y TABACO
554;7;3;VENTA AL POR MENOR EN PUESTOS DE VENTA Y MERCADOS
555;7;3;VENTA AL POR MENOR EN PUESTOS DE VENTA Y MERCADOS DE OTRAS MERCANCIAS
556;7;3;VENTA AL POR MENOR EN PUESTOS DE VENTA Y MERCADOS DE: ALIMENTO, BEBIDAS Y DE PRODUCTOS DEL TABACO
557;7;3;VENTA AL POR MENOR EN PUESTOS DE VENTA Y MERCADOS DE: ARTICULOS TEXTILES, ROPA Y CALZADO
558;7;3;VENTA DE PARTES, PIEZAS Y ACCESORIOS DE VEHICULOS AUTOMOTORES
559;7;3;VENTA DE VEHICULOS AUTOMOTORES
560;7;3;VENTA, MANTENIMIENTO Y REPARACION DE MOTOCICLETAS Y DE SUS PARTES, PIEZAS Y ACCESORIOS
561;6;3;VENTAS AL POR MAYOR DE TEXTILES, PRENDAS DE VESTIR Y CALZADOS
